"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","David Johnson (FA)","293","1,239","4.2","58","6","16","80","120","879","11.0","4","3","16","367.8","23.0","0.0%"
"2","Ezekiel Elliott (NE)","322","1,631","5.1","60","14","15","32","40","363","11.3","1","1","15","309.4","20.6","61.1%"
"3","Le'Veon Bell (FA)","261","1,268","4.9","44","4","7","75","94","616","8.2","2","1","12","279.9","23.3","0.1%"
"4","LeSean McCoy (FA)","234","1,267","5.4","75","11","13","50","57","356","7.1","1","0","15","273.3","18.2","2.0%"
"5","DeMarco Murray (FA)","293","1,287","4.4","75","4","9","53","67","377","7.1","3","1","16","267.3","16.7","0.1%"
"6","Devonta Freeman (FA)","227","1,079","4.8","75","7","11","54","65","462","8.6","2","1","16","257.1","16.1","0.0%"
"7","Melvin Gordon III (BAL)","254","997","3.9","48","7","10","41","57","419","10.2","2","2","13","230.1","17.7","0.7%"
"8","LeGarrette Blount (FA)","299","1,161","3.9","44","7","18","7","8","38","5.4","0","1","16","229.4","14.3","0.1%"
"9","Mark Ingram II (FA)","205","1,043","5.1","75","4","6","46","58","319","6.9","4","2","16","219.2","13.7","0.1%"
"10","Jordan Howard (FA)","252","1,313","5.2","69","10","6","29","50","298","10.3","1","1","15","215.6","14.4","0.0%"
"11","Jay Ajayi (FA)","260","1,272","4.9","62","10","8","27","35","151","5.6","0","1","15","201.8","13.5","7.0%"
"12","Frank Gore (FA)","263","1,025","3.9","22","1","4","38","47","277","7.3","4","1","16","195.2","12.2","12.1%"
"13","Latavius Murray (BUF)","195","788","4.0","42","5","12","33","43","264","8.0","0","1","14","191.7","13.7","1.4%"
"14","Isaiah Crowell (FA)","198","952","4.8","85","8","7","40","53","319","8.0","0","2","16","185.1","11.6","0.1%"
"15","Carlos Hyde (FA)","217","988","4.6","47","7","6","27","33","163","6.0","3","3","13","178.6","13.7","0.0%"
"16","Spencer Ware (FA)","214","921","4.3","46","3","3","33","42","447","13.5","2","3","14","177.3","12.7","0.0%"
"17","Todd Gurley II (FA)","278","885","3.2","24","2","6","43","58","327","7.6","0","1","16","176.7","11.0","0.1%"
"18","Tevin Coleman (FA)","118","520","4.4","55","5","8","31","40","421","13.6","3","0","13","175.6","13.5","0.0%"
"19","Lamar Miller (FA)","268","1,073","4.0","45","7","5","31","39","188","6.1","1","1","14","175.6","12.5","0.0%"
"20","Matt Forte (FA)","218","813","3.7","32","5","7","30","43","263","8.8","1","1","14","168.6","12.0","19.1%"
"21","Bilal Powell (FA)","131","722","5.5","35","4","3","58","74","388","6.7","2","1","16","168.0","10.5","0.0%"
"22","Jeremy Hill (FA)","222","839","3.8","74","5","9","21","27","174","8.3","0","0","15","165.8","11.1","0.0%"
