"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Sam LaPorta (DET)","86","120","889","10.3","48","8","10","1","4","0","0","17","196.3","11.5","98.9%"
"2","Evan Engram (JAC)","114","143","963","8.4","34","9","4","0","0","0","2","17","173.3","10.2","96.5%"
"3","Travis Kelce (KC)","93","121","984","10.6","53","12","5","0","0","0","1","15","172.9","11.5","99.9%"
"4","T.J. Hockenson (MIN)","95","127","960","10.1","29","13","5","0","0","0","1","15","171.5","11.4","81.2%"
"5","George Kittle (SF)","65","90","1,020","15.7","66","18","6","1","2","0","0","16","170.7","10.7","97.4%"
"6","David Njoku (CLE)","81","123","882","10.9","43","12","6","0","0","0","2","16","160.7","10.0","93.7%"
"7","Cole Kmet (CHI)","73","90","719","9.8","53","9","6","3","2","0","0","17","144.6","8.5","70.0%"
"8","Jake Ferguson (DAL)","71","102","761","10.7","40","8","5","0","0","0","0","17","141.6","8.3","89.6%"
"9","Trey McBride (ARI)","81","106","825","10.2","38","9","3","0","0","0","0","17","141.0","8.3","91.3%"
"10","Taysom Hill (NO)","33","40","291","8.8","36","2","2","81","401","4","1","16","127.0","7.9","35.8%"
"11","Dalton Schultz (HOU)","59","88","635","10.8","31","7","5","0","0","0","1","15","121.0","8.1","75.7%"
"12","Dalton Kincaid (BUF)","73","91","673","9.2","51","5","2","0","0","0","1","16","113.8","7.1","86.2%"
"13","Mark Andrews (BAL)","45","61","544","12.1","38","8","6","1","0","0","0","10","112.9","11.3","73.3%"
"14","Kyle Pitts (ATL)","53","90","667","12.6","39","7","3","1","-4","0","0","17","110.8","6.5","88.2%"
"15","Dallas Goedert (PHI)","59","83","592","10.0","49","6","3","1","1","0","0","14","106.8","7.6","89.3%"
"16","Logan Thomas (SF)","55","78","496","9.0","29","3","4","1","2","0","2","16","99.3","6.2","19.2%"
"17","Jonnu Smith (MIA)","50","70","582","11.6","60","4","3","1","0","0","1","17","99.2","5.8","8.0%"
"18","Hunter Henry (NE)","42","61","419","10.0","24","2","6","0","0","0","0","14","98.9","7.1","15.1%"
"19","Cade Otton (TB)","47","67","455","9.7","27","6","4","0","0","0","1","17","93.0","5.5","16.5%"
"20","Tyler Conklin (NYJ)","61","87","621","10.2","37","7","0","1","0","0","0","17","92.6","5.4","16.7%"
"21","Darren Waller (FA)","52","74","552","10.6","29","8","1","0","0","0","0","12","87.2","7.3","46.7%"
"22","Chigoziem Okonkwo (TEN)","54","77","528","9.8","39","6","1","2","6","0","0","17","86.4","5.1","23.7%"
"23","Isaiah Likely (BAL)","30","40","411","13.7","54","6","5","0","0","0","0","17","86.1","5.1","37.0%"
"24","Gerald Everett (CHI)","51","70","411","8.1","31","4","3","3","10","0","0","15","85.6","5.7","23.4%"
"25","Tyler Higbee (LAR)","47","70","495","10.5","33","6","2","0","0","0","0","15","85.0","5.7","19.6%"
"26","Juwan Johnson (NO)","37","59","368","9.9","32","7","4","0","0","0","0","13","79.3","6.1","9.5%"
"27","Donald Parham Jr. (LAC)","27","41","285","10.6","24","2","4","0","0","0","0","14","66.0","4.7","1.1%"
"28","Tucker Kraft (GB)","31","40","355","11.5","43","5","2","0","0","0","0","17","63.0","3.7","11.2%"
"29","Pat Freiermuth (PIT)","32","47","308","9.6","29","3","2","0","0","0","0","12","60.8","5.1","57.7%"
"30","Tanner Hudson (CIN)","39","50","352","9.0","26","3","1","0","0","0","0","12","60.7","5.1","2.7%"
"31","Luke Musgrave (GB)","34","46","352","10.4","37","5","1","0","0","0","0","11","58.2","5.3","8.1%"
"32","Kylen Granson (IND)","30","50","368","12.3","46","5","1","1","2","0","0","15","58.0","3.9","0.6%"
"33","Michael Mayer (LV)","27","40","304","11.3","32","2","2","0","0","0","0","14","57.9","4.1","4.4%"
"34","Noah Fant (SEA)","32","43","414","12.9","51","7","0","0","0","0","0","17","57.4","3.4","2.1%"
"35","Noah Gray (KC)","28","41","305","10.9","34","4","2","1","1","0","0","17","56.6","3.3","0.8%"
"36","Durham Smythe (MIA)","35","43","366","10.5","22","3","0","0","0","0","0","16","54.1","3.4","0.6%"
"37","Mike Gesicki (CIN)","29","45","244","8.4","18","0","2","0","0","0","0","17","50.9","3.0","2.2%"
"38","Adam Trautman (DEN)","22","35","204","9.3","24","2","3","0","0","0","0","17","49.4","2.9","0.2%"
"39","Colby Parkinson (LAR)","25","34","247","9.9","27","5","2","0","0","0","0","17","49.2","2.9","0.6%"
"40","Tommy Tremble (CAR)","23","32","194","8.4","30","2","3","0","0","0","0","16","48.9","3.1","0.3%"
"41","Dawson Knox (BUF)","22","36","186","8.5","17","0","2","0","0","0","0","12","43.6","3.6","4.6%"
"42","Mo Alie-Cox (IND)","13","22","161","12.4","35","2","3","0","0","0","0","17","42.6","2.5","0.1%"
"43","Brevin Jordan (HOU)","17","21","219","12.9","27","3","2","0","0","0","0","13","42.4","3.3","5.1%"
"44","Josh Oliver (MIN)","22","28","213","9.7","33","3","2","0","0","0","1","17","42.3","2.5","0.6%"
"45","Drew Sample (CIN)","22","27","163","7.4","22","1","2","0","0","0","0","17","39.3","2.3","0.1%"
