"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Christian McCaffrey (SF)","272","1,459","5.4","72","9","14","67","83","564","8.4","7","2","16","357.8","22.4","100.0%"
"2","Raheem Mostert (MIA)","209","1,012","4.8","49","7","18","25","32","175","7.0","3","1","15","255.2","17.0","91.4%"
"3","Travis Etienne Jr. (JAC)","267","1,008","3.8","62","6","11","58","73","476","8.2","1","0","17","253.4","14.9","99.7%"
"4","Breece Hall (NYJ)","223","994","4.5","83","7","5","76","95","591","7.8","4","0","17","252.5","14.9","98.9%"
"5","Joe Mixon (HOU)","257","1,034","4.0","44","3","9","52","64","376","7.2","3","0","17","241.0","14.2","99.1%"
"6","Kyren Williams (LAR)","228","1,144","5.0","56","7","12","32","48","206","6.4","3","2","12","239.0","19.9","96.3%"
"7","Rachaad White (TB)","272","990","3.6","38","3","6","64","70","549","8.6","3","2","17","235.9","13.9","97.5%"
"8","Derrick Henry (BAL)","280","1,167","4.2","69","5","12","28","36","214","7.6","0","0","17","232.7","13.7","99.4%"
"9","Bijan Robinson (ATL)","214","976","4.6","38","7","4","58","86","487","8.4","4","3","17","217.3","12.8","99.9%"
"10","Jahmyr Gibbs (DET)","182","945","5.2","36","10","10","52","71","316","6.1","1","1","15","216.1","14.4","99.3%"
"11","James Cook (BUF)","237","1,122","4.7","42","6","2","44","54","445","10.1","4","2","17","210.7","12.4","97.8%"
"12","Saquon Barkley (PHI)","247","962","3.9","36","7","6","41","60","280","6.8","4","2","14","202.7","14.5","100.0%"
"13","David Montgomery (DET)","219","1,015","4.6","75","4","13","16","24","117","7.3","0","1","14","199.2","14.2","93.3%"
"14","Alvin Kamara (NO)","180","694","3.9","17","0","5","75","86","466","6.2","1","0","13","195.5","15.0","98.2%"
"15","Tony Pollard (TEN)","252","1,005","4.0","31","6","6","55","67","311","5.7","0","1","17","195.1","11.5","93.2%"
"16","Isiah Pacheco (KC)","205","935","4.6","48","6","7","44","49","244","5.5","2","1","14","191.9","13.7","97.8%"
"17","Jerome Ford (CLE)","204","813","4.0","69","5","4","44","63","319","7.3","5","1","17","189.2","11.1","81.4%"
"18","James Conner (ARI)","208","1,040","5.0","44","11","7","27","33","165","6.1","2","0","13","188.0","14.5","91.6%"
"19","Kenneth Walker III (SEA)","219","905","4.1","45","7","8","29","37","259","8.9","1","0","15","184.9","12.3","97.1%"
"20","Gus Edwards (LAC)","198","810","4.1","42","6","13","12","13","180","15.0","0","2","17","181.0","10.6","80.5%"
"21","Najee Harris (PIT)","255","1,035","4.1","25","8","8","29","38","170","5.9","0","1","17","181.0","10.6","91.4%"
"22","Brian Robinson Jr. (WAS)","178","733","4.1","29","4","5","36","43","368","10.2","4","2","15","180.1","12.0","86.1%"
"23","D'Andre Swift (CHI)","229","1,049","4.6","43","6","5","39","49","214","5.5","1","1","16","179.8","11.2","94.0%"
"24","De'Von Achane (MIA)","103","800","7.8","76","8","8","27","37","197","7.3","3","1","11","177.2","16.1","95.8%"
"25","Jaylen Warren (PIT)","149","784","5.3","74","6","4","61","74","370","6.1","0","2","17","165.9","9.8","84.7%"
